cID,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 035A3, 1, , , , , , , 4.89224, 4.89224, 4.89224, 0, 0, 0, 3.83633, 3.92699, 3.76184, 0.09066, 0.0744886, 0.0825743, 0.0412872
12, 035A3, 2, , , , , , , , , , , , , 2.46685, 2.24554, 2.67795, 0.221314, 0.211093, 0.216204, 0.216204
12, 035A3, 0, , , , , , , -0, 6.01693, 0.226799, 0.266252, 0.226799, 0.246525, 0.909753, 0.661043, 1.14417, 0.24871, 0.234416, 0.241563, 0.244044
12, 035A3, 1, , , , , , , 6.15348, 6.11804, 6.19253, 0.0354462, 0.0390424, 0.0372443, 0.965252, 0.876058, 1.05165, 0.0891936, 0.0863985, 0.0877961, 0.0625202
12, 035A3, 2, , , , , , , , , , , , , 2.19959, 2.35619, 2.03444, 0.156602, 0.165149, 0.160875, 0.160875
12, 036A2, 0, , , , , , , , , , , , , 3.53638, 3.21836, 3.82732, 0.318019, 0.290938, 0.304479, 0.304479
12, 036A2, 1, , , , , , , , , , , , , 3.58911, 3.48462, 3.70832, 0.104496, 0.119209, 0.111853, 0.111853
12, 036A2, 2, , , , , , , , , , , , , 5.63332, 5.69518, 5.58093, 0.0618676, 0.0523868, 0.0571272, 0.0571272
12, 036A2, 0, , , , , , , 3.10712, 2.81984, 3.41989, 0.287282, 0.312769, 0.300025, 4.3075, 4.12439, 4.55974, 0.183111, 0.252242, 0.217677, 0.258851
12, 036A2, 1, , , , , , , 3.27866, 3.07917, 3.50877, 0.199485, 0.230108, 0.214796, 4.45983, 4.39064, 4.55974, 0.0691962, 0.0999049, 0.0845506, 0.149673
12, 036A2, 2, , , , , , , , , , , , , 5.47077, 5.38713, 5.55037, 0.0836368, 0.0796036, 0.0816202, 0.0816202
12, 036A2, 0, , , , , , , 1.23606, 1.41815, 1.03038, 0.182087, 0.205683, 0.193885, 0.54042, 0.785398, 0.321751, 0.244979, 0.218669, 0.231824, 0.212854
12, 036A2, 1, , , , , , , 1.42478, 1.5708, 1.26791, 0.146012, 0.156873, 0.151442, 0.502843, 0.661043, 0.348771, 0.1582, 0.154072, 0.156136, 0.153789
12, 036A2, 2, , , , , , , , , , , , , 5.74277, 5.87829, 5.59746, 0.135528, 0.14531, 0.140419, 0.140419
12, 036A2, 0, , , , , , , 1.10715, 1.22203, 0.950547, 0.114877, 0.156602, 0.135739, 0.463648, 0.726642, 0.110657, 0.262995, 0.35299, 0.307993, 0.221866
12, 036A2, 1, , , , , , , 1.45137, 1.5708, 1.344, 0.119429, 0.10737, 0.113399, 0.351445, 0.432408, 0.286051, 0.080963, 0.0653933, 0.0731782, 0.0932888
12, 036A2, 2, , , , , , , , , , , , , 5.69518, 5.65439, 5.72459, 0.0407939, 0.0294031, 0.0350985, 0.0350985
12, 036A2, 0, , , , , , , 1.43824, 1.6421, 1.26791, 0.203859, 0.170333, 0.187096, 0.321751, 0.610726, 0.0713075, 0.288976, 0.250443, 0.269709, 0.228403
12, 036A2, 1, , , , , , , 1.50637, 1.62955, 1.3597, 0.123183, 0.146667, 0.134925, 0.446106, 0.528074, 0.348771, 0.0819692, 0.0973345, 0.0896519, 0.112288
12, 036A2, 2, , , , , , , , , , , , , 5.68601, 5.81954, 5.54537, 0.133529, 0.140638, 0.137084, 0.137084
12, 036A2, 0, , , , , , , 1.34732, 1.64757, 0.982794, 0.300249, 0.364526, 0.332387, 0.442374, 0.785398, 0.226799, 0.343024, 0.215575, 0.2793, 0.305844
12, 036A2, 1, , , , , , , 1.43373, 1.50423, 1.3597, 0.0704979, 0.0740272, 0.0722625, 0.463648, 0.628796, 0.298499, 0.165149, 0.165149, 0.165149, 0.118706
12, 036A2, 2, , , , , , , , , , , , , 5.81954, 5.78384, 5.84656, 0.0356989, 0.0270204, 0.0313596, 0.0313596
12, 036A2, 0, , , , , , , 1.44109, 1.65394, 1.22203, 0.212844, 0.219069, 0.215956, 0.370891, 0.643501, 0.0996687, 0.27261, 0.271223, 0.271916, 0.243936
12, 036A2, 1, , , , , , , 1.49949, 1.49949, 1.49949, 0, 0, 0, 0.414507, 0.566729, 0.2783, 0.152223, 0.136207, 0.144215, 0.0721074
12, 036A2, 2, , , , , , , , , , , , , 2.49809, 2.77442, 2.18152, 0.276328, 0.316569, 0.296448, 0.296448
12, 036A2, 0, , , , , , , 4.39064, 4.62173, 4.17197, 0.23109, 0.218669, 0.22488, 3.50557, 3.78509, 3.29424, 0.279522, 0.21133, 0.245426, 0.235153
12, 036A2, 1, , , , , , , 4.60565, 4.64108, 4.57049, 0.035428, 0.0351615, 0.0352947, 3.5877, 3.64869, 3.54648, 0.0609931, 0.0412138, 0.0511034, 0.0431991
12, 036A2, 2, , , , , , , , , , , , , 2.58994, 2.43934, 2.77442, 0.150602, 0.184481, 0.167541, 0.167541
12, 036A2, 0, , , , , , , 4.54724, 4.71239, 4.36362, 0.165149, 0.183622, 0.174386, 3.42539, 3.70832, 3.14159, 0.282935, 0.283794, 0.283364, 0.228875
12, 036A2, 1, , , , , , , 4.67669, 4.55974, 4.77896, 0.116951, 0.102267, 0.109609, 3.51093, 3.5221, 3.50036, 0.0111727, 0.0105629, 0.0108678, 0.0602383
12, 036A2, 2, , , , , , , , , , , , , 2.4371, 2.60117, 2.30861, 0.164075, 0.128487, 0.146281, 0.146281
12, 036A2, 0, , , , , , , 4.45507, 4.71239, 4.15379, 0.257324, 0.301276, 0.2793, 3.58397, 3.80264, 3.33899, 0.218669, 0.244979, 0.231824, 0.255562
12, 036A2, 1, , , , , , , 4.59296, 4.55974, 4.62925, 0.0332203, 0.0362877, 0.034754, 3.62411, 3.50877, 3.78509, 0.11534, 0.160988, 0.138164, 0.0864588
12, 036A2, 2, , , , , , , , , , , , , 2.35619, 2.45586, 2.24554, 0.0996689, 0.110657, 0.105163, 0.105163
12, 036A2, 0, , , , , , , 4.62173, 4.7837, 4.35362, 0.161968, 0.268111, 0.215039, 3.60524, 3.87441, 3.30674, 0.269167, 0.298499, 0.283833, 0.249436
12, 036A2, 1, , , , , , , 4.57049, 4.59528, 4.54724, 0.0247883, 0.0232515, 0.0240199, 3.41989, 3.35269, 3.48462, 0.0672064, 0.0647244, 0.0659654, 0.0449926
12, 036A2, 2, , , , , , , , , , , , , 2.66071, 2.7468, 2.57486, 0.0860962, 0.0858419, 0.085969, 0.085969
12, 036A2, 0, , , , , , , , , , , , , 3.70019, 3.38657, 3.92699, 0.313621, 0.226799, 0.27021, 0.27021
12, 036A2, 1, , , , , , , , , , , , , 3.36367, 3.38657, 3.33899, 0.0228967, 0.0246863, 0.0237915, 0.0237915
12, 036A2, 2, , , , , , , , , , , , , 5.55654, 5.25281, 5.81954, 0.303734, 0.262995, 0.283364, 0.283364
12, 036A2, 0, , , , , , , , , , , , , 1.32582, 1.62955, 0.942, 0.303735, 0.383818, 0.343776, 0.343776
12, 036A2, 1, , , , , , , , , , , , , 1.30163, 1.31019, 1.2925, 0.00856534, 0.00913215, 0.00884874, 0.00884874
12, 036A2, 2, , , , , , , , , , , , , 2.48055, 2.67795, 2.29744, 0.197396, 0.183111, 0.190253, 0.190253
12, 036A2, 0, , , , , , , 4.43409, 4.63562, 4.15379, 0.201528, 0.2803, 0.240914, 3.47827, 3.70019, 3.30674, 0.221925, 0.171526, 0.196725, 0.21882
12, 036A2, 1, , , , , , , 4.41389, 4.43409, 4.39064, 0.0201992, 0.0232515, 0.0217254, 3.41076, 3.41989, 3.40219, 0.0091323, 0.00856519, 0.00884874, 0.0152871
12, 036A2, 2, , , , , , , , , , , , , 5.67764, 5.73153, 5.62749, 0.0538897, 0.0501509, 0.0520203, 0.0520203
12, 036A2, 0, , , , , , , 3.47827, 3.29424, 3.76184, 0.184026, 0.283575, 0.2338, 4.44144, 4.24874, 4.61272, 0.1927, 0.171278, 0.181989, 0.207895
12, 036A2, 1, , , , , , , 3.38657, 3.38657, 3.38657, 0, 0, 0, 4.45871, 4.43409, 4.48559, 0.0246258, 0.0268749, 0.0257504, 0.0128752
12, 036A2, 2, , , , , , , , , , , , , 2.64517, 2.79282, 2.53605, 0.147652, 0.109122, 0.128387, 0.128387
12, 036A2, 0, , , , , , , 3.69325, 3.36026, 4.12439, 0.332986, 0.431139, 0.382062, 4.31387, 4.06889, 4.53254, 0.244979, 0.218669, 0.231824, 0.306943
12, 036A2, 1, , , , , , , 3.51458, 3.46334, 3.56822, 0.0512373, 0.0536398, 0.0524386, 4.50699, 4.45179, 4.60173, 0.0552073, 0.0947379, 0.0749726, 0.0637056
12, 036A2, 2, , , , , , , , , , , , , 2.42276, 2.25653, 2.55359, 0.166237, 0.130827, 0.148532, 0.148532
12, 036B2, 0, , , , , , , 4.61744, 4.79553, 4.39064, 0.178093, 0.226799, 0.202446, 3.74388, 3.85022, 3.64869, 0.106339, 0.0951889, 0.100764, 0.151605
12, 036B2, 1, , , , , , , 4.58803, 4.71239, 4.46741, 0.124355, 0.120624, 0.122489, 3.58911, 3.66967, 3.50877, 0.0805544, 0.0803463, 0.0804504, 0.10147
12, 036B2, 2, , , , , , , , , , , , , 5.87829, 5.7708, 6.03821, 0.107498, 0.159913, 0.133705, 0.133705
