class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
1,0.345,0.526,0.585,0.552,0.58,0.32,-0.142,0,0.263,0.402,0.451,0.56,0.381,0,0.945,0,0.0628,0.00225,-0.149,-0.24,-0.0193,0,0.29,0,0.00788,-0.00025,0,0.157,0.126,0,0.202
1,-0.0183,0.258,0.314,0.325,0.314,0.00201,-0.1,0,0.29,0.36,0.385,0.387,0.0887,0,0.721,0,0.0895,-0.0402,-0.215,-0.413,-0.311,0,0.568,0,0.0642,0.003,-0.0154,0.0307,-0.137,0,0.155
1,0.0586,0.152,0.135,0.332,0.24,-0.0471,-0.142,0,0.127,0.144,0.374,0.316,0.0617,0,0.529,0,-0.14,-0.39,-0.426,-0.218,-0.205,0,0.665,0,-0.0983,-0.213,-0.0264,-0.041,-0.164,0,0.29
1,1.35,1.1,1.12,0.97,0.955,0.596,-0.142,0,-0.00173,0.269,0.368,0.601,0.49,0,0.9,0,-0.202,-0.131,-0.232,-0.199,0.0901,0,0.399,0,-0.227,-0.0877,-0.0316,0.245,0.265,0,0.436
1,0.267,0.411,0.347,0.437,0.466,0.284,-0.142,0,0.212,0.216,0.374,0.471,0.358,0,0.763,0,0.0121,-0.184,-0.226,-0.329,-0.0418,0,0.441,0,-0.0132,-0.141,-0.0256,0.115,0.133,0,0.227
1,-0.0183,0.17,0.31,0.445,0.434,0.249,-0.142,0,0.209,0.37,0.525,0.535,0.371,0,0.938,0,0.00936,-0.0299,-0.0746,-0.265,-0.0289,0,0.279,0,-0.0896,-0.0996,0,0.065,0.0722,0,0.165
1,-0.0183,0.129,0.269,0.321,0.351,0.166,-0.0594,0,0.154,0.301,0.359,0.396,0.219,0,0.67,0,-0.046,-0.099,-0.241,-0.404,-0.181,0,0.515,0,-0.0713,-0.0558,-0.0406,0.0396,-0.00639,0,0.107
1,1.04,1.22,1.31,1.28,1.19,0.621,-0.142,0,0.372,0.668,0.831,0.936,0.566,0,1.57,0,0.138,0.2,0.129,0,0.098,0,0.292,0,-0.117,-0.0812,0,0.187,0.0769,0,0.248
1,0.371,0.484,0.496,0.51,0.457,0.179,-0.142,0,0.198,0.296,0.395,0.428,0.236,0,0.723,0,-0.00151,-0.104,-0.205,-0.372,-0.164,0,0.467,0,-0.0268,-0.0607,-0.00456,0.0714,0.0104,0,0.0981
1,-0.0183,0.249,0.293,0.384,0.386,0.258,0.0762,0,0.252,0.28,0.355,0.341,0.198,0,0.651,0,-0.0148,-0.253,-0.445,-0.192,-0.0687,0,0.551,0,0.0265,-0.0767,-0.0447,-0.0154,-0.0273,0,0.0978
1,1.08,1.23,1.07,0.994,0.994,0.242,-0.142,0,0.353,0.394,0.525,0.728,0.181,0,1.06,0,0.153,-0.0062,-0.0751,-0.0717,-0.219,0,0.287,0,0.0545,-0.0754,0,0.259,-0.118,0,0.299
1,-0.0183,0.3,0.29,0.434,0.489,0.2,0.0739,0,0.303,0.278,0.406,0.446,0.142,0,0.743,0,0.103,-0.122,-0.194,-0.354,-0.258,0,0.505,0,0.074,-0.0842,0,0.0837,-0.0869,0,0.165
1,0.67,0.768,0.708,1.01,1.01,0.564,-0.142,0,0.234,0.309,0.742,0.877,0.571,0,1.34,0,0.0145,-0.13,0.0839,0,0.132,0,0.204,0,-0.198,-0.358,0,0.21,0.139,0,0.48
1,-0.0183,0.715,0.761,1.01,1.01,0.405,0.0164,0,0.728,0.767,1.01,1,0.394,0,1.81,0,0.392,0.0966,0,0.33,0.059,0,0.525,0,0.125,-0.138,0.00631,0.0948,-0.208,0,0.295
1,-0.0183,0.546,0.593,0.833,0.936,0.709,0.483,0,0.481,0.444,0.6,0.62,0.31,0,1.13,0,0.281,0.0442,0.000387,-0.18,-0.0899,0,0.348,0,0.137,-0.0934,0,0.0826,-0.0339,0,0.188
1,0.0842,0.28,0.225,0.357,0.356,0.132,-0.142,0,0.234,0.216,0.386,0.423,0.237,0,0.697,0,0.0339,-0.184,-0.214,-0.377,-0.163,0,0.499,0,0.00857,-0.14,-0.0136,0.0659,0.0116,0,0.156
1,0.269,0.726,0.825,0.867,0.814,0.393,-0.142,0,0.526,0.693,0.803,0.819,0.467,0,1.51,0,0.321,0.283,0.189,0,0.0575,0,0.471,0,0.0544,-0.0306,0,0.0958,-0.00414,0,0.114
1,0.854,1.2,1.18,1.28,1.12,0.69,-0.142,0,0.513,0.661,0.929,0.926,0.666,0,1.69,0,0.203,0.042,0,0.306,0.357,0,0.514,0,-0.0413,-0.178,0,0.0863,0.112,0,0.231
1,0.58,0.845,0.835,0.925,0.873,0.419,-0.142,0,0.386,0.496,0.707,0.774,0.441,0,1.3,0,0.186,0.0963,0.107,-0.0257,0.0415,0,0.24,0,-0.0236,-0.138,0,0.14,0.0318,0,0.2
1,-0.0183,0.244,0.719,1.02,1.24,0.951,0.449,0,0.184,0.581,0.807,0.945,0.58,0,1.5,0,-0.0519,0.109,0.0982,0,0.108,0,0.189,0,-0.289,-0.145,0,0.218,0.107,0,0.405
1,-0.0183,0.632,1.17,1.59,1.7,1.41,1.39,0,0.416,0.717,0.902,0.779,0.253,0,1.47,0,0.115,0.116,0,0.177,-0.0479,0,0.246,0,-0.12,-0.0971,0,-0.0358,-0.283,0,0.325
1,0.775,1.03,1.08,1.01,0.952,0.458,-0.142,0,0.41,0.609,0.689,0.789,0.447,0,1.35,0,0.21,0.209,0.0888,-0.0111,0.0474,0,0.313,0,0.0117,-0.00948,0,0.171,0.0489,0,0.178
1,-0.0183,0.132,0.231,0.316,0.368,0.192,0.0155,0,0.145,0.238,0.317,0.364,0.182,0,0.586,0,-0.0554,-0.162,-0.283,-0.436,-0.218,0,0.59,0,-0.0807,-0.119,-0.0831,0.00693,-0.0435,0,0.172
1,0.0817,0.321,0.37,0.547,0.544,0.226,-0.142,0,0.277,0.363,0.577,0.612,0.331,0,1.01,0,0.0771,-0.037,-0.0225,-0.188,-0.069,0,0.219,0,-0.0531,-0.154,0,0.0951,0.000844,0,0.189
1,-0.0183,0.512,0.611,0.902,0.894,0.785,0.494,0,0.445,0.458,0.664,0.571,0.376,0,1.15,0,0.179,-0.0749,-0.136,0.0377,0.11,0,0.264,0,0.0623,-0.137,0,-0.0244,-0.00648,0,0.153
3,-0.0183,0.366,0.464,0.651,0.672,0.469,0.191,0,0.349,0.413,0.565,0.551,0.312,0,1.01,0,0.0826,-0.12,-0.235,0.0175,0.0458,0,0.281,0,0.027,-0.0921,0,0.0457,-0.00986,0,0.107
3,0.539,0.838,0.857,0.664,0.492,0.434,-0.142,0,0.412,0.544,0.466,0.407,0.462,0,1.03,0,0.0119,-0.256,-0.134,0.00697,0.262,0,0.39,0,0.148,0.129,0,-0.00891,0.199,0,0.28
3,-0.0183,0.217,0.315,0.791,1.03,0.678,0.364,0,0.171,0.206,0.618,0.797,0.377,0,1.11,0,-0.0286,-0.194,0.0182,-0.00303,-0.0226,0,0.198,0,-0.183,-0.348,0,0.243,0.0225,0,0.463
3,-0.0183,0.206,0.518,1.23,1.21,1.16,0.818,0,0.085,0.258,0.828,0.671,0.478,0,1.2,0,-0.191,-0.295,0,0.119,0.202,0,0.422,0,-0.402,-0.489,0,-0.0747,-0.00921,0,0.637
3,-0.0183,0.342,1,1.49,1.11,0.577,0.465,0,0.28,0.858,1.27,0.805,0.192,0,1.76,0,-0.142,0.0146,0,-0.0386,-0.23,0,0.273,0,-0.323,-0.0473,0.266,-0.101,-0.411,0,0.597
3,-0.0183,0.31,0.338,0.619,0.601,0.229,0.0343,0,0.32,0.339,0.611,0.584,0.204,0,0.986,0,0.053,-0.195,-0.189,0.0509,-0.0629,0,0.288,0,-0.0305,-0.208,0,0.0373,-0.146,0,0.259
3,0.273,0.612,0.711,0.929,0.585,0.0214,-0.142,0,0.409,0.577,0.864,0.589,0.0946,0,1.27,0,0.121,0.000743,0,0.0133,-0.193,0,0.228,0,-0.102,-0.202,0,-0.19,-0.416,0,0.51
3,1.45,1.65,1.74,2.15,1.7,1.13,-0.142,0,0.463,0.827,1.49,1.32,1,0,2.42,0,-0.0344,-0.169,0,0.322,0.506,0,0.624,0,-0.14,-0.079,0.493,0.411,0.401,0,0.774
2,0.919,0.993,1,0.974,0.966,0.322,-0.142,0,0.251,0.437,0.586,0.754,0.288,0,1.12,0,0.0506,0.0368,-0.0145,-0.0458,-0.112,0,0.137,0,-0.0844,-0.0874,0,0.23,-0.0472,0,0.264
2,0.197,0.439,0.451,0.551,0.541,0.221,-0.142,0,0.298,0.367,0.523,0.57,0.307,0,0.957,0,0.098,-0.033,-0.0768,-0.23,-0.0935,0,0.28,0,0.000451,-0.101,0,0.102,0.00896,0,0.144
2,-0.0183,0.36,0.371,0.649,0.684,0.49,0.516,0,0.289,0.211,0.4,0.346,0.0634,0,0.642,0,0.0227,-0.322,-0.4,-0.187,-0.203,0,0.583,0,0.0638,-0.146,0,-0.0109,-0.162,0,0.227
2,0.696,0.636,0.511,0.527,0.475,-0.124,-0.142,0,0.0794,0.0945,0.251,0.338,-0.121,0,0.455,0,-0.121,-0.305,-0.349,-0.462,-0.521,0,0.846,0,-0.146,-0.262,-0.149,-0.0192,-0.347,0,0.483
2,-0.0183,0.342,0.482,0.661,0.945,0.968,0.908,0,0.205,0.192,0.217,0.345,0.215,0,0.54,0,0.00549,-0.208,-0.383,-0.455,-0.185,0,0.657,0,-0.0198,-0.165,-0.183,-0.0114,-0.0106,0,0.248
2,-0.0183,0.482,0.534,0.695,0.735,0.437,0.0913,0,0.482,0.516,0.658,0.681,0.364,0,1.24,0,0.282,0.116,0.0583,-0.119,-0.0363,0,0.335,0,0.103,-0.0746,0,0.0903,-0.0158,0,0.157
1,-0.0183,0.549,0.647,1.1,1.15,1.1,0.833,0,0.425,0.382,0.689,0.599,0.404,0,1.15,0,0.158,-0.152,-0.111,0.0659,0.137,0,0.289,0,0.0261,-0.237,0,-0.0196,0.00531,0,0.239
1,-0.0183,0.286,0.239,0.312,0.332,0.204,0.0401,0,0.295,0.238,0.301,0.312,0.174,0,0.601,0,0.0949,-0.162,-0.299,-0.488,-0.226,0,0.644,0,0.0696,-0.119,-0.0988,-0.0452,-0.0513,0,0.183
1,-0.0183,0.33,0.28,0.393,0.452,0.359,0.304,0,0.295,0.191,0.251,0.256,0.109,0,0.513,0,0.095,-0.209,-0.349,-0.544,-0.291,0,0.746,0,0.0696,-0.166,-0.149,-0.101,-0.116,0,0.28
1,-0.0183,0.384,0.483,0.801,0.891,0.837,0.534,0,0.31,0.317,0.543,0.541,0.395,0,0.97,0,0.0437,-0.216,-0.257,0.00762,0.128,0,0.362,0,0.000624,-0.169,0,0.0549,0.0853,0,0.197
1,-0.0183,0.477,0.68,0.989,1.01,0.918,0.656,0,0.383,0.473,0.67,0.574,0.374,0,1.14,0,0.116,-0.0602,-0.13,0.0407,0.107,0,0.217,0,-0.00377,-0.128,0,-0.0269,-0.0128,0,0.131
