cID,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 017AA, 0, , , , , , , , , , , , , 1.33296, 1.46014, 1.19029, 0.127179, 0.14267, 0.134925, 0.134925
12, 017AA, 1, , , , , , , , , , , , , 1.47732, 1.3734, 1.5708, 0.103919, 0.0934767, 0.0986977, 0.0986977
12, 017AA, 2, , , , , , , , , , , , , 0.651077, 0.54042, 0.737815, 0.110657, 0.0867385, 0.0986979, 0.0986979
12, 017AA, 0, , , , , , , , , , , , , 2.41274, 2.03444, 2.7886, 0.378294, 0.375864, 0.377079, 0.377079
12, 017AA, 1, , , , , , , , , , , , , 2.35619, 2.09887, 2.53931, 0.257324, 0.183111, 0.220217, 0.220217
12, 017AA, 2, , , , , , , , , , , , , 3.68838, 3.69325, 3.68201, 0.00486604, 0.00636935, 0.00561769, 0.00561769
12, 017AA, 0, , , , , , , , , , , , , 2.01832, 1.71269, 2.30861, 0.305623, 0.290295, 0.297959, 0.297959
12, 017AA, 1, , , , , , , , , , , , , 1.94513, 1.78189, 2.08994, 0.16324, 0.144812, 0.154026, 0.154026
12, 017AA, 2, , , , , , , , , , , , , 2.72017, 2.81984, 2.62245, 0.0996689, 0.0977268, 0.0986979, 0.0986979
12, 017AA, 0, , , , , , , , , , , , , 3.60524, 4.02666, 3.2587, 0.421419, 0.346539, 0.383979, 0.383979
12, 017AA, 1, , , , , , , , , , , , , 0.308053, 0.321751, 0.298499, 0.013698, 0.00955385, 0.0116259, 0.0116259
12, 017AA, 2, , , , , , , , , , , , , 3.5877, 3.48462, 3.7296, 0.103082, 0.141897, 0.122489, 0.122489
12, 017AA, 0, , , , , , , , , , , , , 2.53087, 2.31917, 2.75099, 0.211692, 0.220119, 0.215906, 0.215906
12, 017AA, 1, , , , , , , , , , , , , 2.56084, 2.43297, 2.67795, 0.12787, 0.117109, 0.122489, 0.122489
12, 017AA, 2, , , , , , , , , , , , , 3.60524, 3.54648, 3.68201, 0.0587559, 0.0767716, 0.0677638, 0.0677638
12, 017AA, 0, , , , , , , , , , , , , 2.62245, 2.39965, 2.83871, 0.222801, 0.216261, 0.219531, 0.219531
12, 017AA, 1, , , , , , , , , , , , , 2.70692, 2.57026, 2.86329, 0.136667, 0.156371, 0.146519, 0.146519
12, 017AA, 2, , , , , , , , , , , , , 0.704494, 0.785398, 0.643501, 0.0809044, 0.060993, 0.0709487, 0.0709487
12, 017AA, 0, , , , , , , , , , , , , 1.63965, 1.8314, 1.4289, 0.191746, 0.210753, 0.20125, 0.20125
12, 017AA, 1, , , , , , , , , , , , , 1.5708, 1.62955, 1.51204, 0.0587558, 0.0587559, 0.0587558, 0.0587558
12, 017AA, 0, , , , , , , 2.75472, 2.95624, 2.5128, 0.201528, 0.24192, 0.221724, 1.73594, 2.03444, 1.44644, 0.298499, 0.289504, 0.294001, 0.257863
