tag,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 191B2, 0, , , , , , , , , , , , , 1.35674, 1.17601, 1.5708, 0.18073, 0.214061, 0.197396, 0.197396
12, 191B2, 1, , , , , , , , , , , , , 1.26109, 1.19029, 1.3734, 0.0708034, 0.112307, 0.0915554, 0.0915554
12, 191B2, 2, , , , , , , , , , , , , 0.870903, 0.785398, 0.942, 0.0855052, 0.0710968, 0.078301, 0.078301
12, 191B2, 0, , , , , , , , , , , , , 1.28824, 1.43824, 1.15839, 0.150003, 0.129856, 0.139929, 0.139929
12, 191B2, 1, , , , , , , , , , , , , 1.43373, 1.43824, 1.4289, 0.00451461, 0.00483084, 0.00467272, 0.00467272
12, 191B2, 2, , , , , , , , , , , , , 1.91635, 1.9513, 1.86225, 0.0349506, 0.0540988, 0.0445247, 0.0445247
12, 191B2, 0, , , , , , , , , , , , , 1.92957, 2.24554, 1.6421, 0.31597, 0.287463, 0.301717, 0.301717
12, 191B2, 1, , , , , , , , , , , , , 1.9513, 2.07789, 1.83705, 0.126593, 0.114254, 0.120423, 0.120423
12, 191B2, 2, , , , , , , , , , , , , 2.16797, 2.1588, 2.17634, 0.00917411, 0.00836793, 0.00877102, 0.00877102
12, 192A2, 0, , , , , , , , , , , , , 5.27571, 5.49779, 5.10718, 0.222082, 0.168525, 0.195303, 0.195303
12, 192A2, 1, , , , , , , , , , , , , 1.98321, 1.97569, 1.98902, 0.00751865, 0.00581399, 0.00666632, 0.00666632
12, 192A2, 2, , , , , , , , , , , , , 3.10935, 3.07502, 3.14159, 0.0343211, 0.032247, 0.033284, 0.033284
12, 192A2, 0, , , , , , , , , , , , , 1.80863, 1.98321, 1.62955, 0.174575, 0.17908, 0.176827, 0.176827
12, 192A2, 1, , , , , , , , , , , , , 1.89255, 1.91382, 1.8693, 0.0212735, 0.0232517, 0.0222626, 0.0222626
12, 192A2, 2, , , , , , , , , , , , , 0.0344691, -0, 0.0624188, 0.0344691, 0.0279497, 0.0312094, 0.0312094
12, 192A2, 0, , , , , , , , , , , , , 1.046, 1.35213, 0.837981, 0.306127, 0.208019, 0.257073, 0.257073
12, 192A2, 1, , , , , , , , , , , , , 1.0122, 1.10715, 0.927295, 0.094952, 0.0849018, 0.0899269, 0.0899269
12, 192A2, 2, , , , , , , , , , , , , 2.97644, 2.97644, 2.97644, 0, 0, 0, 0
12, 192A2, 0, , , , , , , , , , , , , 2.08635, 1.87368, 2.27942, 0.212664, 0.193077, 0.202871, 0.202871
12, 192A2, 1, , , , , , , , , , , , , 1.9513, 1.89255, 1.99742, 0.0587558, 0.046121, 0.0524384, 0.0524384
12, 192A2, 2, , , , , , , , , , , , , 1.85885, 1.8693, 1.8491, 0.0104436, 0.00975585, 0.0100997, 0.0100997
12, 192A2, 0, , , , , , , , , , , , , 5.27571, 5.49779, 5.10718, 0.222082, 0.168525, 0.195303, 0.195303
12, 192A2, 1, , , , , , , , , , , , , 1.98321, 1.97569, 1.98902, 0.00751865, 0.00581399, 0.00666632, 0.00666632
12, 192A2, 2, , , , , , , , , , , , , 3.10935, 3.07502, 3.14159, 0.0343211, 0.032247, 0.033284, 0.033284
12, 192A2, 0, , , , , , , , , , , , , 1.80863, 1.98321, 1.62955, 0.174575, 0.17908, 0.176827, 0.176827
12, 192A2, 1, , , , , , , , , , , , , 1.89255, 1.91382, 1.8693, 0.0212735, 0.0232517, 0.0222626, 0.0222626
12, 192A2, 2, , , , , , , , , , , , , 0.0344691, -0, 0.0624188, 0.0344691, 0.0279497, 0.0312094, 0.0312094
12, 192A2, 0, , , , , , , , , , , , , 1.046, 1.35213, 0.837981, 0.306127, 0.208019, 0.257073, 0.257073
12, 192A2, 1, , , , , , , , , , , , , 1.0122, 1.10715, 0.927295, 0.094952, 0.0849018, 0.0899269, 0.0899269
12, 192A2, 2, , , , , , , , , , , , , 2.97644, 2.97644, 2.97644, 0, 0, 0, 0
12, 192A2, 0, , , , , , , , , , , , , 2.08635, 1.87368, 2.27942, 0.212664, 0.193077, 0.202871, 0.202871
12, 192A2, 1, , , , , , , , , , , , , 1.9513, 1.89255, 1.99742, 0.0587558, 0.046121, 0.0524384, 0.0524384
12, 192A2, 2, , , , , , , , , , , , , 1.85885, 1.8693, 1.8491, 0.0104436, 0.00975585, 0.0100997, 0.0100997
12, 195A2, 0, , , , , , , , , , , , , 1.24905, 1.66146, 0.896055, 0.412411, 0.35299, 0.382701, 0.382701
12, 195A2, 1, , , , , , , , , , , , , 1.07899, 1.05165, 1.10715, 0.027337, 0.0281619, 0.0277494, 0.0277494
12, 195A2, 2, , , , , , , , , , , , , 0.114877, -0, 0.226799, 0.114877, 0.111922, 0.113399, 0.113399
12, 195A2, 0, , , , , , , , , , , , , 6.25289, 6.05209, 0.185348, 0.200797, 0.215642, 0.208219, 0.208219
12, 195A2, 1, , , , , , , , , , , , , 6.19253, 6.17831, 6.21188, 0.0142169, 0.0193523, 0.0167846, 0.0167846
12, 195A2, 2, , , , , , , , , , , , , 1.81577, 1.7976, 1.8314, 0.0181798, 0.015624, 0.0169019, 0.0169019
12, 195A2, 0, , , , , , , , , , , , , 1.60304, 1.74547, 1.4289, 0.142425, 0.174144, 0.158285, 0.158285
12, 195A2, 1, , , , , , , , , , , , , 1.83379, 1.83705, 1.8314, 0.00325719, 0.00239229, 0.00282474, 0.00282474
12, 195A2, 2, , , , , , , , , , , , , 6.15883, 6.10851, 6.21662, 0.0503173, 0.0577869, 0.0540521, 0.0540521
