class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
3,0.0763,0.407,0.585,0.738,0.585,0.229,0,0,0.344,0.534,0.7,0.56,0.216,0,1.12,0,0.0768,0.00102,-0.1,0.0265,-0.0504,0,0.139,0,-0.0617,-0.0939,0,-0.0684,-0.189,0,0.23
3,0.587,0.969,1.17,1.17,0.74,0.459,0,0,0.48,0.782,0.88,0.544,0.361,0,1.43,0,0.187,0.196,0,-0.0425,0.068,0,0.282,0,-0.041,-0.0119,0,-0.25,-0.16,0,0.3
3,0.573,0.751,0.929,0.929,0.672,0.356,0,0,0.273,0.547,0.642,0.481,0.26,0,1.04,0,0.00672,0.0134,-0.158,-0.0524,-0.00645,0,0.167,0,-0.0962,-0.029,0,-0.0949,-0.109,0,0.176
3,0.725,1.06,1.14,1.27,0.984,0.44,0,0,0.458,0.656,0.907,0.743,0.32,0,1.45,0,0.155,0.0518,0,0.138,0.0173,0,0.215,0,-0.0816,-0.163,0,-0.0762,-0.22,0,0.295
3,0.0241,0.265,0.506,0.699,0.53,0.217,0,0,0.245,0.49,0.687,0.522,0.213,0,1.04,0,-0.0217,-0.0434,-0.113,-0.0112,-0.0538,0,0.135,0,-0.152,-0.126,0,-0.0942,-0.184,0,0.286
3,0.403,0.685,0.766,1.07,0.766,0.323,0,0,0.349,0.497,0.867,0.632,0.255,0,1.26,0,0.0605,-0.0806,0,0.0538,-0.0336,0,0.119,0,-0.163,-0.285,0,-0.15,-0.257,0,0.443
3,0,0.529,0.73,0.982,0.856,0.529,0.252,0,0.487,0.647,0.856,0.688,0.319,0,1.4,0,0.202,0.0756,0,0.118,0.0336,0,0.248,0,-0.0188,-0.126,0,-0.0838,-0.187,0,0.241
3,1.4,1.63,1.79,1.3,0.984,0.674,0,0,0.466,0.855,0.596,0.518,0.44,0,1.33,0,0.0389,0,-0.0453,0.0907,0.227,0,0.251,0,0.125,0.321,0,-0.0154,0.0992,0,0.359
3,0.958,1.3,1.55,1.6,1.4,0.786,0,0,0.504,0.909,1.12,1.08,0.627,0,1.97,0,0.131,0.164,0,0.336,0.254,0,0.47,0,-0.0992,0.00334,0.118,0.175,0.0237,0,0.235
3,0.829,0.854,0.951,1.22,1.15,0.366,0,0,0.163,0.398,0.805,0.87,0.228,0,1.28,0,-0.0549,-0.0366,0.152,0,-0.207,0,0.266,0,-0.31,-0.326,0,0.145,-0.244,0,0.532
1,0.541,0.709,0.878,0.845,0.642,0.372,0,0,0.259,0.518,0.574,0.462,0.282,0,0.979,0,-0.00766,-0.0153,-0.226,-0.0716,0.0149,0,0.238,0,-0.0692,0.00399,0,-0.0523,-0.0467,0,0.0986
1,0,0.132,0.211,0.289,0.289,0.237,0.0263,0,0.127,0.202,0.276,0.272,0.215,0,0.503,0,-0.139,-0.332,-0.524,-0.261,-0.0518,0,0.689,0,-0.0981,-0.155,-0.124,-0.0848,-0.0104,0,0.237
1,0,0.174,0.291,0.494,0.552,0.436,0.233,0,0.136,0.213,0.378,0.397,0.242,0,0.651,0,-0.0643,-0.187,-0.222,-0.403,-0.158,0,0.525,0,-0.0897,-0.144,-0.0221,0.0405,0.0169,0,0.176
1,0.137,0.328,0.383,0.464,0.383,0.301,0,0,0.214,0.291,0.396,0.337,0.278,0,0.692,0,-0.0526,-0.242,-0.404,-0.196,0.0111,0,0.513,0,-0.0113,-0.0653,-0.00383,-0.0198,0.0524,0,0.0869
1,0.343,0.554,0.607,0.792,0.712,0.396,0,0,0.268,0.378,0.62,0.598,0.339,0,1.04,0,0.00158,-0.155,-0.18,0.0647,0.0719,0,0.257,0,-0.0877,-0.177,0,0.0425,-0.0174,0,0.203
