"shape","expt","date","hive","tab","isRandom","angle00","angle01","angle10","angle11","angle20","angle21","angle0","angle1","angle2","angleSum","r","seg","degrees","hiveseg","tabseg","tabinstance","tabinstanceRnd"
7," 094A1","11/07/2020","A",1,0,0,5.49779,4.17197,3.01724,0,0,0.785398,1.15473,0,1.94013,"E","094A1E",111.161260706716,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,1,0.741947,0.244979,6.03821,5.67764,3.50036,2.4859,0.496969,0.360566,1.01447,1.872,"R","094A1R",107.25769924849,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,6.22443,5.72459,4.04642,3.50036,3.02448,2.44685,0.499844,0.546056,0.57763,1.62353,"R","094A1R",93.0214169128745,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,0.244979,6.11804,3.66074,2.27942,0,0,0.410127,1.38132,0,1.79144,"R","094A1R",102.641951250916,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,2.00742,1.10715,4.4813,3.84385,0,0,0.900275,0.637449,0,1.53772,"R","094A1R",88.104866072857,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,0.965252,0.463648,5.31793,4.10684,0,0,0.501604,1.21109,0,1.71269,"R","094A1R",98.129908614261,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,5.41465,4.87754,2.31622,1.73594,0,0,0.537108,0.580271,0,1.11738,"R","094A1R",64.0211581123279,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",2,0,1.69515,1.39612,0.489957,0.185348,4.24874,3.88701,0.299027,0.304609,0.361729,0.965366,"E","094A1E",55.3113974854262,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,0,0,0,0,0,0,0,0,0,0,"E","094A1E",0,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,2.14213,5.74277,0,0,0,0,2.68255,0,0,2.68255,"E","094A1E",153.698793332819,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,3.20401,2.08994,6.03821,4.88706,0,0,1.11407,1.15115,0,2.26521,"E","094A1E",129.786972710829,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,3.44448,1.26791,0.571337,0.0587558,0,0,2.17657,0.512582,0,2.68915,"E","094A1E",154.076945477605,"AE","2E","094A12","094A12E"
