shape, expt,date,hive,tab, isRandom, angle00, angle01,angle10, angle11,angle20, angle21,angle0, angle1,angle2, angleSum
7, 094A1,11/07/2020,A,1,0,2.19105,1.75614,5.30039,4.12439,0,0,0.434901,1.17601,0,1.61091
7, 094A1,11/07/2020,A,1,1,1.31019,0.965252,5.14902,4.09214,0,0,0.344942,1.05688,0,1.40182
7, 094A1,11/07/2020,A,1,1,1.19029,0.741947,4.95737,4.53772,2.67795,2.4859,0.448343,0.419651,0.192048,1.06004
7, 094A1,11/07/2020,A,1,1,1.87368,1.38545,5.41465,5.07116,3.20035,2.89661,0.488233,0.343486,0.303734,1.13545
7, 094A1,11/07/2020,A,1,1,0,0,0,0,0,0,0,0,0,0
7, 094A1,11/07/2020,A,1,1,4.77114,4.29998,3.14159,1.89255,0,0,0.471166,1.24905,0,1.72021
7, 094A1,11/07/2020,A,1,1,1.50838,6.22443,5.37836,4.89774,0,0,1.56713,0.480621,0,2.04775
7, 094A1,11/07/2020,A,1,1,1.31019,0.436627,5.14902,4.65689,4.04642,3.76184,0.873567,0.492126,0.284577,1.65027
7, 094A1,11/07/2020,A,1,1,2.35619,1.76819,5.01527,4.71239,3.71293,3.20401,0.588003,0.302885,0.508919,1.39981
7, 094A1,11/07/2020,A,1,1,4.58803,3.96697,3.08609,2.26553,0,0,0.621065,0.82056,0,1.44162
7, 094A1,11/07/2020,A,1,0,2.03444,5.49779,0,0,0,0,2.81984,0,0,2.81984
7, 094A1,11/07/2020,A,1,0,5.27099,2.08994,0,0,0,0,3.18105,0,0,3.18105
7, 094A1,11/07/2020,A,1,0,1.26791,0.185348,5.41465,4.05669,0,0,1.08256,1.35795,0,2.44052
7, 094A1,11/07/2020,A,1,0,1.9513,5.28373,0,0,0,0,2.95076,0,0,2.95076
7, 094A1,11/07/2020,A,1,0,0.124355,5.58093,4.98334,3.80756,0,0,0.826612,1.17577,0,2.00239
7, 094A1,11/07/2020,A,1,0,0,5.49779,4.17197,3.01724,0,0,0.785398,1.15473,0,1.94013
7, 094A1,11/07/2020,A,1,1,0.741947,0.244979,6.03821,5.67764,3.50036,2.4859,0.496969,0.360566,1.01447,1.872
7, 094A1,11/07/2020,A,1,1,6.22443,5.72459,4.04642,3.50036,3.02448,2.44685,0.499844,0.546056,0.57763,1.62353
7, 094A1,11/07/2020,A,1,1,0.244979,6.11804,3.66074,2.27942,0,0,0.410127,1.38132,0,1.79144
7, 094A1,11/07/2020,A,1,1,2.00742,1.10715,4.4813,3.84385,0,0,0.900275,0.637449,0,1.53772
7, 094A1,11/07/2020,A,1,1,0.965252,0.463648,5.31793,4.10684,0,0,0.501604,1.21109,0,1.71269
7, 094A1,11/07/2020,A,1,1,5.41465,4.87754,2.31622,1.73594,0,0,0.537108,0.580271,0,1.11738
7, 094A1,11/07/2020,A,2,0,1.69515,1.39612,0.489957,0.185348,4.24874,3.88701,0.299027,0.304609,0.361729,0.965366
7, 094A1,11/07/2020,A,2,0,0,0,0,0,0,0,0,0,0,0
7, 094A1,11/07/2020,A,2,0,2.14213,5.74277,0,0,0,0,2.68255,0,0,2.68255
7, 094A1,11/07/2020,A,2,0,3.20401,2.08994,6.03821,4.88706,0,0,1.11407,1.15115,0,2.26521
7, 094A1,11/07/2020,A,2,0,3.44448,1.26791,0.571337,0.0587558,0,0,2.17657,0.512582,0,2.68915
7, 094A1,11/07/2020,A,2,0,3.50036,6.03821,0,0,0,0,3.74534,0,0,3.74534
7, 094A1,11/07/2020,A,2,0,3.554,6.22443,0,0,0,0,3.61276,0,0,3.61276
7, 094A1,11/07/2020,A,2,0,4.01013,3.74714,1.69515,5.87077,0,0,0.262995,2.10756,0,2.37056
7, 094A1,11/07/2020,A,2,0,3.76184,3.46334,1.50838,1.13417,6.05209,5.53777,0.298499,0.374208,0.514328,1.18704
7, 094A1,11/07/2020,A,2,0,4.01013,3.50036,1.15839,5.53777,0,0,0.509768,1.90381,0,2.41357
7, 094A1,11/07/2020,A,2,0,2.57026,1.26791,5.92441,5.33264,0,0,1.30234,0.591776,0,1.89412
7, 094A1,11/07/2020,A,2,0,3.38657,1.15839,0,0,0,0,2.22819,0,0,2.22819
7, 094A1,11/07/2020,A,2,0,3.38657,2.9442,1.38545,0.655696,4.99844,4.53772,0.442374,0.729753,0.460723,1.63285
7, 094A1,11/07/2020,A,2,0,4.00376,3.38657,0.380506,4.77114,0,0,0.617191,1.89255,0,2.50974
7, 094A1,11/07/2020,A,2,1,0.489957,5.74277,4.2,2.83871,0,0,1.03038,1.36129,0,2.39167
7, 094A1,11/07/2020,A,2,1,1.08084,0.0587558,3.88701,3.14159,0,0,1.02208,0.74542,0,1.7675
7, 094A1,11/07/2020,A,2,1,2.03444,1.01914,0,0,0,0,1.0153,0,0,1.0153
7, 094A1,11/07/2020,A,2,1,1.81577,0.380506,3.92699,3.14159,0,0,1.43527,0.785398,0,2.22067
7, 094A1,11/07/2020,A,2,0,5.96143,5.46077,3.97044,2.4859,0,0,0.500668,1.48454,0,1.98521
7, 094A1,11/07/2020,A,2,1,1.81577,1.51204,6.10851,5.61722,3.554,3.20035,0.303734,0.491297,0.353655,1.14869
7, 094A1,11/07/2020,A,2,1,0.950547,0.571337,5.53777,5.20235,2.19105,1.91009,0.379209,0.33542,0.280957,0.995586
7, 094A1,11/07/2020,A,2,1,1.81577,1.63322,5.61722,5.17604,3.84385,3.554,0.18256,0.44118,0.289847,0.913586
7, 094A1,11/07/2020,A,2,1,0.885067,0.302885,4.60173,4.29998,2.76109,2.53605,0.582182,0.301753,0.225038,1.10897
7, 094A1,11/07/2020,A,2,1,4.01765,1.87368,0,0,0,0,2.14397,0,0,2.14397
7, 094A1,11/07/2020,A,2,1,1.51204,1.39612,0.132552,5.66294,3.79729,3.42764,0.115916,0.752801,0.369644,1.23836
7, 094A1,11/07/2020,A,2,1,4.65363,3.5221,0,0,0,0,1.13153,0,0,1.13153
7, 094A1,11/07/2020,A,2,1,3.60524,2.14213,0,0,0,0,1.46311,0,0,1.46311
7, 094A1,11/07/2020,A,2,1,0.74542,5.9803,4.71239,4.46741,3.14159,2.76109,1.0483,0.244978,0.380507,1.67379
7, 094A1,11/07/2020,A,2,1,5.71185,5.37836,4.94348,4.71239,2.39617,2.12245,0.333489,0.231091,0.273722,0.838302
7, 094A1,11/07/2020,A,3,0,4.46741,4.10684,1.98321,1.5708,0,5.79323,0.360566,0.41241,0.489957,1.26293
