ZigZag, ID, x0, y0, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, a0, a1, a2, a3, a4, a5, a6, a7
11, 119A1, 2860, 1244, 2840, 1246, 2833, 1235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03786, -1, -1, -1, -1, -1, -1, -1
11, 120A2, 2285, 1181, 2254, 1191, 2244, 1168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66888, -1, -1, -1, -1, -1, -1, -1
11, 120A2, 2163, 901, 2143, 914, 2153, 938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75238, -1, -1, -1, -1, -1, -1, -1
11, 120A2, 2803, 1109, 2808, 1125, 2835, 1124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83666, -1, -1, -1, -1, -1, -1, -1
11, 121A1, 1913, 950, 1881, 957, 1867, 925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76785, -1, -1, -1, -1, -1, -1, -1
11, 121A1, 2530, 958, 2528, 977, 2551, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37918, -1, -1, -1, -1, -1, -1, -1
11, 121A1, 2565, 1192, 2551, 1209, 2526, 1207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17989, -1, -1, -1, -1, -1, -1, -1
11, 121A1, 2561, 1026, 2568, 1049, 2536, 1052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36883, -1, -1, -1, -1, -1, -1, -1
11, 121A1, 2770, 973, 2793, 986, 2785, 1009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75051, -1, -1, -1, -1, -1, -1, -1
11, 121A1, 2870, 956, 2857, 970, 2858, 990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34326, -1, -1, -1, -1, -1, -1, -1
